Frame,Object.ID,Transformed.X,Transformed.Y,Spiel läuft,Game,Spieler schlägt,Speed
139,0,-0.38471147278176654,-11.572164141999274,Nein,Spiel läuft nicht,Nein,0.4909596437409785
140,1,-5.83787657989405,7.548512468958532,Nein,Spiel läuft nicht,Nein,1.011788645964825
140,0,-0.39291189888124933,-11.566460032886928,Nein,Spiel läuft nicht,Nein,0.40858760252313986
141,0,-0.39763995254167217,-11.559845261605727,Nein,Spiel läuft nicht,Nein,0.3326494715501871
141,1,-5.837921950657118,7.552641801751758,Nein,Spiel läuft nicht,Nein,0.7932214972719278
142,1,-5.851184669434576,7.616305968342039,Nein,Spiel läuft nicht,Nein,0.63639475314387
142,0,-0.39877264569947873,-11.553379095578629,Nein,Spiel läuft nicht,Nein,0.271934438436347
143,1,-5.849032146497522,7.635747491379819,Nein,Spiel läuft nicht,Nein,0.5184841248910933
143,0,-0.3973118460904873,-11.546636272941981,Nein,Spiel läuft nicht,Nein,0.22863717232431807
144,0,-0.39626005223328514,-11.540077597343615,Nein,Spiel läuft nicht,Nein,0.2019556932582649
144,1,-5.863649731655992,7.647243585488106,Nein,Spiel läuft nicht,Nein,0.5226571616355742
145,1,-5.887177667830347,7.654017401257556,Nein,Spiel läuft nicht,Nein,0.5932476130602601
145,0,-0.39460929052549065,-11.533451609152943,Nein,Spiel läuft nicht,Nein,0.19055288140334195
146,0,-0.3940281760714003,-11.526921378053844,Nein,Spiel läuft nicht,Nein,0.1887057526533558
